City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,esperance,-33.8667,121.9,30.18,34,0,3.7,AU,1669867510
143,sao filipe,14.8961,-24.4956,23.64,65,100,3.8,CV,1669867511
144,mar del plata,-38.0023,-57.5575,17.83,99,100,3.6,AR,1669867511
145,avera,33.194,-82.5271,9.03,48,0,4.44,US,1669867368
146,ulladulla,-35.35,150.4667,19.7,61,77,4.11,AU,1669867512
147,beringovskiy,63.05,179.3167,-1.32,91,100,6.13,RU,1669867328
148,mount gambier,-37.8333,140.7667,19.02,56,40,5.05,AU,1669867512
149,naze,28.3667,129.4833,15.68,72,98,8.0,JP,1669867513
150,port alfred,-33.5906,26.891,18.43,93,81,1.93,ZA,1669867513
151,jalu,29.0331,21.5482,12.2,50,0,1.57,LY,1669867514
152,flinders,-34.5833,150.8552,20.7,57,98,3.94,AU,1669867514
153,laguna,38.421,-121.4238,10.99,73,0,3.6,US,1669867514
154,lebu,-37.6167,-73.65,11.24,78,0,8.87,CL,1669867375
155,storforshei,66.4043,14.5233,-1.86,93,75,1.54,NO,1669867515
156,tutoia,-2.7619,-42.2744,25.05,88,79,5.06,BR,1669867515
157,ilulissat,69.2167,-51.1,-4.99,68,100,10.8,GL,1669867467
158,charters towers,-20.1,146.2667,28.41,43,82,6.61,AU,1669867516
159,wanaka,-44.7,169.15,20.06,40,87,2.24,NZ,1669867516
160,mirnyy,62.5353,113.9611,-27.65,75,98,3.13,RU,1669867516
161,hluti,-27.2167,31.6167,16.22,82,37,0.92,SZ,1669867517
162,rocha,-34.4833,-54.3333,19.75,93,30,5.91,UY,1669867286
163,qaanaaq,77.484,-69.3632,-30.7,87,31,1.71,GL,1669867517
164,olafsvik,64.8945,-23.7142,6.15,84,74,14.33,IS,1669867518
165,victoria point,-27.5833,153.3,18.99,93,100,4.02,AU,1669867518
166,port macquarie,-31.4333,152.9167,19.38,63,100,3.59,AU,1669867359
167,artyom,40.4723,50.333,6.08,85,100,7.7,AZ,1669867519
168,talnakh,69.4865,88.3972,-19.43,100,99,1.45,RU,1669867421
169,da nang,16.0678,108.2208,28.99,74,20,4.12,VN,1669867507
170,honningsvag,70.9821,25.9704,1.86,80,20,5.66,NO,1669867519
171,mayor pablo lagerenza,-19.9309,-60.7718,21.62,84,62,0.85,PY,1669867520
172,banjar,-8.19,114.9675,30.15,61,33,2.59,ID,1669867520
173,cabo san lucas,22.8909,-109.9124,23.62,75,21,2.02,MX,1669867521
174,karratha,-20.7377,116.8463,34.44,33,1,5.91,AU,1669867521
175,acarau,-2.8856,-40.12,25.88,76,88,5.56,BR,1669867476
176,scottsbluff,41.8666,-103.6672,-4.84,77,0,5.14,US,1669867522
177,cherskiy,68.75,161.3,-8.37,96,100,3.35,RU,1669867310
178,bambous virieux,-20.3428,57.7575,26.79,69,40,3.09,MU,1669867523
179,pochutla,15.7432,-96.4661,24.34,84,8,1.44,MX,1669867345
180,meulaboh,4.1363,96.1285,27.07,79,100,1.61,ID,1669867523
181,wajir,1.7471,40.0573,23.94,81,92,5.09,KE,1669867277
182,kuvandyk,51.4781,57.3552,-18.06,85,8,1.2,RU,1669867524
183,grand gaube,-20.0064,57.6608,26.88,63,52,5.36,MU,1669867451
184,fort nelson,58.8053,-122.7002,-27.81,83,16,0.89,CA,1669867244
185,isangel,-19.55,169.2667,29.36,66,91,3.27,VU,1669867525
186,asau,46.4333,26.4,-0.4,96,99,1.17,RO,1669867525
187,chihuahua,28.5,-106.0,12.33,27,4,2.16,MX,1669867190
188,artesia,33.8658,-118.0831,14.7,73,20,1.54,US,1669867244
